     addr         pfn  soft-dirty    file/shared    swapped     present
0x71be09a58000    : 1a2bf0     1          1          0          1         
0x71be09a59000    : 1a2bf1     1          1          0          1         
0x71be09a5a000    : 1a2bf2     1          1          0          1         
0x71be09a5b000    : 1a2bf3     1          1          0          1         
0x71be09a5c000    : 1a2bf4     1          1          0          1         
0x71be09a5d000    : 1a2bf5     1          1          0          1         
0x71be09a5e000    : 1a2bf6     1          1          0          1         
0x71be09a5f000    : 1a2bf7     1          1          0          1         
0x71be09a60000    : 1a2bf8     1          1          0          1         
0x71be09a61000    : 1a2bf9     1          1          0          1         
0x71be09a62000    : 1a2bfa     1          1          0          1         
0x71be09a63000    : 1a2bfb     1          1          0          1         
0x71be09a64000    : 1a2bfc     1          1          0          1         
0x71be09a65000    : 1a2bfd     1          1          0          1         
0x71be09a66000    : 1a2bfe     1          1          0          1         
0x71be09a67000    : 1a2bff     1          1          0          1         
0x71be09a68000    : 3b35e8     1          1          0          1         
0x71be09a69000    : 3b35ca     1          1          0          1         
0x71be09a6a000    : 3b355d     1          1          0          1         
0x71be09a6b000    : 3b3536     1          1          0          1         
0x71be09a6c000    : 3b352f     1          1          0          1         
0x71be09a6d000    : 3b3467     1          1          0          1         
0x71be09a6e000    : 3b3460     1          1          0          1         
0x71be09a6f000    : 3b3451     1          1          0          1         
0x71be09a70000    : 0          1          0          0          0         
0x71be09a71000    : 0          1          0          0          0         
0x71be09a72000    : 0          1          0          0          0         
0x71be09a73000    : 0          1          0          0          0         
0x71be09a74000    : 0          1          0          0          0         
0x71be09a75000    : 0          1          0          0          0         
0x71be09a76000    : 0          1          0          0          0         
0x71be09a77000    : 0          1          0          0          0         
0x71be09a78000    : 0          1          0          0          0         
0x71be09a79000    : 0          1          0          0          0         
0x71be09a7a000    : 0          1          0          0          0         
0x71be09a7b000    : 0          1          0          0          0         
0x71be09a7c000    : 0          1          0          0          0         
0x71be09a7d000    : 0          1          0          0          0         
0x71be09a7e000    : 0          1          0          0          0         
0x71be09a7f000    : 0          1          0          0          0         
0x71be09a80000    : 3b1889     1          1          0          1         
0x71be09a81000    : 3b187d     1          1          0          1         
0x71be09a82000    : 3b1861     1          1          0          1         
0x71be09a83000    : 3b1854     1          1          0          1         
0x71be09a84000    : 3b1853     1          1          0          1         
0x71be09a85000    : 3b184f     1          1          0          1         
0x71be09a86000    : 3b183e     1          1          0          1         
0x71be09a87000    : 3b1817     1          1          0          1         
0x71be09a88000    : 39a19a     1          1          0          1         
0x71be09a89000    : 39a17f     1          1          0          1         
0x71be09a8a000    : 39a17e     1          1          0          1         
0x71be09a8b000    : 39a014     1          1          0          1         
